part	title	supports	n_rows	n_cols	status	notes	file	sources	built
11D	Ligand prioritization toward basement-membrane versus fibrillar-collagen targets	Figure S17C	321	13	complete	Both columns come from the same script, priors, receiver and expression threshold; only geneset_oi differs, so the two rankings are comparable. Compare `perm_z`, not `aupr_corrected`: each z is standardised against its own target set's null of equally sized random gene sets drawn from the same receiver background, whereas AUPR still scales with target-set size. Spearman rank correlation between the two rankings: 0.347 over 321 ligands. The fibrillar target set is small, so its individual estimates are noisy -- read it as a comparison of ligand ORDERING, not of absolute activity.	tableS11D.tsv	basement_membrane/_m/nichenet_bm/ligand_activities_BM_Pericytes.tsv; basement_membrane/_m/nichenet_fibrillar/ligand_activities_FIB_Pericytes.tsv	2026-09-08 10:52:30
12A	Cell-type expression landscape of the local lung renin-angiotensin machinery	Figure S10	396	17	complete	`detect` is the donor-level detection fraction and `emmean` the depth-adjusted marginal expression with donor and study random effects. Within-gene ranks are computed here for all populations the model could score; the stored ras_top_celltypes.tsv keeps only the top 3. Rows with circular_by_construction = TRUE are strata DEFINED by the gene in that row -- the AT2 groups are split on AGTR2 detectability, so their AGTR2 detection is 1.000 and 0.000 by construction. They are excluded before the within-dataset standardization (the det stratum's raw AGTR2 is 117x the next cell type and would otherwise set the scale for the whole gene), carry emmean = NA, and take no rank. Their `detect` and `expr_raw` remain descriptive.	tableS12A.tsv	agt_axis/_m/stats_data/ras_celltype_profile.tsv; agt_axis/_h/ras_panel.tsv; agt_axis/_m/ras_pseudobulk_celltype.tsv.gz	2026-09-10 11:09:17
12B	Circuit-role classification: completeness of the angiotensin II axis per cell type	Figure S10	22	16	complete	Roles are called at a donor-level detection threshold of 0.05. `n_core_roles` counts the three requirements (substrate, AngII-generating protease, AT1 receptor) and is computed here: the stored `n_steps_present` counts all five step columns and therefore cannot support the 'no cell type carried more than one requirement' claim. `chymase_gene` records which of CMA1/CTSG won the max() the source script discarded.	tableS12B.tsv	agt_axis/_m/stats_data/ras_circuit_completeness.tsv	2026-09-10 11:09:17
12C	AGT rank stability, ligand coexpression, and predicted-target overlap	Results (local RAS); cited in place of Figure S10	114	38	complete	The coexpression block now carries an EXPRESSION FLOOR (P2-18, 2026-09-08): a sender is tested only if it detects AGT in >= 1% of its cells, computed cell-weighted over the donors entering the fit. Read `tested`, `agt_detect_group` and `excluded_reason`. 35 of 110 rows are tested; the 74 excluded by the floor and the 1 non-estimable row are retained for completeness, are NOT in the BH family, and must not be read as coexpression evidence. Before the floor, 35 of the 42 BH-significant rows came from cell types detecting AGT in under 1% of cells and sorted to the top of the file; the 17 rows that printed `p_value == 0` (Spearman underflow) were all among them and are now flagged `p_underflow` and clamped to the double epsilon. `agt_coexpression_floor_sweep.tsv` reports what floors of 0.005 / 0.01 / 0.02 / 0.05 would each have admitted. CAVEAT on the rank block: `rank_median` is the centre of the m-gene subsample distribution, NOT a bias-corrected version of `rank_point`; read it against `rank_size_ref`, the size-matched benchmark, and report the interval. CAVEAT on the overlap block: `hyper_p_MISCALIBRATED` assumes each ligand draws targets uniformly from the 24-gene shortlist, which is badly violated -- six targets are used by 26-28 of the 30 ligands. Read `pair_pctile` (rank among all ligand pairs in the same table) and `degree_p` (degree-preserving permutation). The overlap block is derived entirely from the curated NicheNet prior and is not independent evidence from the coexpression block.	tableS12C.tsv	agt_axis/_m/stats_data/agt_ligand_rank_bootstrap.tsv; agt_axis/_m/stats_data/agt_ligand_coexpression.tsv; agt_axis/_m/stats_data/agt_target_overlap.tsv	2026-09-10 11:09:17
13B	Six stable cluster fractions by disease group	Figure S11	108	27	complete	Model (derived from the `model` column, not asserted): primary [marginal means/omnibus disease test/pairwise contrasts] = lmer(disease_group + sex + (1 | study)). Donor-level fractions. Only the PRIMARY arm is assembled here; the age-complete `_ageadj` sensitivity sits beside it in the source directory and is not included, because `+ age` was a cohort filter on this endpoint (P1-2), not a covariate. `p_BH` in the omnibus block is BH across levels; contrast P values are already BH-adjusted within level by the source script and are NOT re-adjusted here.	tableS13B.tsv	pericyte_states/_m/stats_data/composition_state_*	2026-09-10 11:09:17
13C	Three dominant-program fractions by disease group	Figure S11	54	27	complete	Model (derived from the `model` column, not asserted): primary [marginal means/omnibus disease test/pairwise contrasts] = lmer(disease_group + sex + (1 | study)). Donor-level fractions. Only the PRIMARY arm is assembled here; the age-complete `_ageadj` sensitivity sits beside it in the source directory and is not included, because `+ age` was a cohort filter on this endpoint (P1-2), not a covariate. `p_BH` in the omnibus block is BH across levels; contrast P values are already BH-adjusted within level by the source script and are NOT re-adjusted here.	tableS13C.tsv	pericyte_states/_m/stats_data/composition_program_*	2026-09-10 11:09:17
13D	Grouped injury-associated state fraction by disease group	Figure S11	16	26	complete	CORRECTED DEFINITION: the injury-associated group is the activated/migratory program alone. Earlier summaries quoted 0.488 / 0.381 / 0.317 with P = 0.816, which were pre-relabel values equal to basement-membrane + activated/migratory; basement-membrane is a structural program and is deliberately not counted as injury. The `injury_programs` column records the definition actually used.	tableS13D.tsv	pericyte_states/_m/stats_data/injury_fraction_*	2026-09-10 11:09:17
02C1	Sequencing-depth dependence of raw Agtr1a detection in mouse pericytes	Figure S2; Results (cross-species)	6	12	complete	RECOMPUTED for this table: these statistics were quoted in writings/SPECIES_SUMMARY.md and MECHANISM_ANALYSES.md but were never written to any output file. The reported 'detection tracks depth' result is the pooled detection-vs-UMI row (rho = 0.356, P = 3e-04, n = 99); the counts-vs-UMI rows are a different, stronger relationship and must not be quoted in its place.	tableS02C1.tsv	cross_species/_m/stats_data/species_comparability_pericyte_cells.tsv	2026-09-08 16:21:02
02C2	Receptor specificity of the mouse mural signal (Agtr1a/Agtr1b/Agtr2, raw vs scVI)	Figure S2	18	6	complete	The scVI-corrected layer is dense: every cell is 'detected', which is why the compartment claim rests on the raw counts.	tableS02C2.tsv	cross_species/_m/stats_data/species_comparability_agtr1a_by_layer.tsv	2026-09-08 16:21:02
05C1	AGTR1 by pericyte program under three measurement lenses: marginal means	Figure 2; Figure S5	9	8	complete	Donor-aware mixed model per lens. The program ranking REVERSES between the raw and denoised lenses, which is why AGTR1 is reported as a compartment label and not a state marker.	tableS05C1.tsv	pericyte_states/_m/stats_data/agtr1_lenses_by_program_emmeans.tsv	2026-09-10 12:31:49
05C2	AGTR1 by pericyte program under three lenses: pairwise contrasts	Figure 2; Figure S5	9	9	complete	P values are BH-adjusted within each lens by the source script.	tableS05C2.tsv	pericyte_states/_m/stats_data/agtr1_lenses_by_program_posthoc.tsv	2026-09-10 12:31:49
05C3	Top-ranked pericyte program under each AGTR1 measurement lens	Figure 2	3	4	complete	The three-row summary of the lens reversal.	tableS05C3.tsv	pericyte_states/_m/stats_data/agtr1_lenses_top_program.tsv	2026-09-10 12:31:49
05D1	AGTR1 by pericyte subcluster under three measurement lenses, refit at the count model's unit: marginal means	Figure 2	18	16	complete	214 donor x subcluster pseudobulks from 95 donors, ~ subcluster + mean log10 depth + (1|study) + (1|donor), the same unit as the count-model arbiter in S05D3 so the SEs are comparable. The denoised lens is reported on the LOG rate scale (delta method) for that reason; the raw and detection lenses are not rates and keep their own scale. `underpowered` flags subclusters under 20 donors (P4, P5), which support no contrast.	tableS05D1.tsv	basement_membrane/_m/stats_data/agtr1_lens_by_cluster_emmeans.tsv	2026-09-10 12:31:49
05D2	AGTR1 by pericyte subcluster under three lenses: pairwise contrasts	Figure 2	45	13	complete	P values are BH-adjusted within each lens by the source script. At this unit neither the raw nor the detection lens separates any basement-membrane subcluster from any vascular-stabilizing one.	tableS05D2.tsv	basement_membrane/_m/stats_data/agtr1_lens_by_cluster_posthoc.tsv	2026-09-10 12:31:49
05D3	AGTR1 abundance by pericyte subcluster from the count model (no imputation): marginal means	Figure 2	36	19	complete	AGTR1 integer counts from raw/X as an NB-GLMM response with offset(log(library size)) and (1|study) + (1|donor). FIVE specifications are tabulated; Figure 2D plots level = pseudobulk, spec = with_offset, the concentration estimand whose units match the denoised lens. `spec = depth_covar` drops the offset for a per-cell abundance -- divergence between the two is interpretable, not an error. A row with converged = FALSE is not a result.	tableS05D3.tsv	basement_membrane/_m/stats_data/agtr1_count_by_cluster.tsv	2026-09-10 12:31:49
05D4	AGTR1 abundance by pericyte subcluster from the count model: pairwise contrasts	Figure 2	90	14	complete	BH-adjusted within (spec, level). `involves_underpowered` marks any contrast touching P4 (13 donors) or P5 (4 donors); those are excluded from the four basement-membrane-versus-vascular-stabilizing contrasts quoted in the Figure 2D legend.	tableS05D4.tsv	basement_membrane/_m/stats_data/agtr1_count_by_cluster_posthoc.tsv	2026-09-10 12:31:49
06B1	CoGAPS rank selection: cross-seed pattern reproducibility and reconstruction error	Figure S8	7	12	complete	`cross_seed_r_weakest_pattern` is the minimum across patterns, i.e. the least reproducible pattern at that rank. `n_seeds` = 3 MATCHED replicate seeds; the canonical seed (13) is the reference each replicate is matched to, not a fourth comparison. Reconstruction error is reported as fraction-unexplained: distributed CoGAPS does not populate meanChiSq, so this is NOT a chi-square statistic. Validation was run for nP = 5, 7, 8, 9 only. THE TWO COLUMNS THAT SELECT THE MAIN RANK: `min_r_collapse_zero` re-scores a pattern that matched NOTHING as r = 0 instead of letting mean(na.rm = TRUE) drop it -- dropping is generous to exactly the ranks that failed, and nP = 9 falls 0.952 -> 0.635 under it while nP = 8 is unchanged at 0.978. `n_patterns_seeds` / `dimension_consistent` report how many patterns each fit actually RETURNED against how many were requested: distributed CoGAPS need not return the requested count, and at nP = 9 the three replicate seeds return 10, 9 and 8. nP = 8 is the largest dimensionally consistent rank that also clears the 0.80 gate under either NA convention, which is why it is SELECTED (main) rather than nP = 9 -- the bare 'largest nP with min_r >= 0.80' rule returns 9, and 9 is carried as the sensitivity rank for that reason.	tableS06B1.tsv	pericyte_cogaps/_m/cogaps_nP_selection.tsv	2026-09-08 10:52:23
06B2	CoGAPS per-pattern cross-seed reproducibility at the selected rank	Figure S8	8	5	complete	Best-match correlation of each reference pattern to each replicate seed, at the SELECTED rank nP = 8 only; the `nP` column states this on every row. `n_seeds` = 3 matched replicate seeds (1, 42, 2024); the canonical seed (13) is the reference they are matched TO, not a fourth comparison. Averaging `cross_seed_r_mean` over these rows reproduces the nP = 8 row of S06B1 exactly, and the script refuses to write this part if it does not.	tableS06B2.tsv	pericyte_cogaps/_m/cogaps_seed_stability.tsv	2026-09-08 10:52:23
06B3	CoGAPS pattern-to-program correspondence: score correlations and PatternMarker overlaps	Figure S8	394	12	complete	Hypergeometric P tests overlap between a pattern's PatternMarker set and a curated panel; BH is across pattern x panel pairs within a rank, as adjusted by the source script. Disease associations of the CoGAPS patterns are deliberately NOT included here -- they belong with the disease Results section (Table S13).	tableS06B3.tsv	pericyte_cogaps/_m/validation_np{5,7,8,9}/pattern_panel_overlap.tsv.gz; .../pattern_score_spearman.tsv.gz; .../pattern_AGTR1_spearman.tsv.gz	2026-09-08 10:52:24
